Date,Open,High,Low,Actual,Adj Close,Volume,Predicted,Price Diff,MACD,Signal,RSI
2020-01-15,77.96,78.88,77.39,77.83,75.54,121923600,77.94564301,-0.3820112399999971,2.7803574503612083,2.5244530754240557,74.58941650821758
2020-01-16,78.4,78.93,78.02,78.81,76.49,108829200,78.90983294,0.9641899300000034,2.797497361045586,2.579061932548362,76.92287275988562
2020-01-17,79.07,79.68,78.75,79.68,77.34,137816400,79.75846182,0.8486288799999926,2.848447463592663,2.6329390387572222,78.7853806820396
2020-01-21,79.3,79.75,79.0,79.14,76.81,110843200,79.25064451,-0.507817309999993,2.81282777227095,2.6689167854599676,74.75262402441265
2020-01-22,79.64,80.0,79.33,79.43,77.09,101832400,79.53392831,0.2832837999999924,2.7759994924915787,2.69033332686629,75.47854855647708
2020-01-23,79.48,79.89,78.91,79.81,77.46,104472000,79.87167554,0.33774723000000506,2.745823495598998,2.7014313606128315,76.43468264201806
2020-01-24,80.06,80.83,79.38,79.58,77.23,146537600,79.66640266,-0.20527287999999544,2.6725423185965695,2.695653552209579,74.54019372969816
2020-01-27,77.51,77.94,76.22,77.24,74.96,161940000,77.35615774,-2.3102449200000024,2.398005301644858,2.636123902096635,58.62081375824883
2020-01-28,78.15,79.6,78.05,79.42,77.08,162234000,79.39526745,2.0391097100000053,2.329487635353388,2.574796648747986,65.92257630020688
2020-01-29,81.11,81.96,80.35,81.08,78.7,216229200,81.07827376,1.6830063099999961,2.381680487856059,2.536173416569601,70.23037500545189
2020-01-30,80.14,81.02,79.69,80.97,78.58,126743200,80.92625437,-0.15201939000000664,2.3866557371062243,2.5062698806769257,69.60248628519197
2020-01-31,80.23,80.67,77.07,77.38,75.1,199588400,77.47031019,-3.455944179999989,2.0769736020502876,2.420410624951598,52.96076073920413
2020-02-03,76.07,78.37,75.56,77.17,74.89,173788400,77.13096216,-0.3393480300000107,1.7939237970685724,2.2951132593749928,52.17490148951061
2020-02-04,78.83,79.91,78.41,79.71,77.36,136616400,79.67911952,2.5481573600000047,1.7543386359339763,2.1869583346867896,59.921351579043126
2020-02-05,80.88,81.19,79.74,80.36,78.0,118826800,80.35435406,0.6752345400000053,1.7551840095643172,2.1006034696622953,61.63396029182457
2020-02-06,80.64,81.31,80.07,81.3,78.91,105425600,81.21332519,0.8589711300000005,1.8108299973423385,2.042648775198304,64.02788369807905
2020-02-07,80.59,80.85,79.5,80.01,77.84,117684000,80.08100116,-1.1323240300000066,1.7308850590220715,1.9802960319630576,58.621957237754415
2020-02-10,78.54,80.39,78.46,80.39,78.21,109348800,80.32941074,0.24840958000000057,1.6788383402922733,1.920004493628901,59.70132713005743
2020-02-11,80.9,80.97,79.68,79.9,77.73,94323200,80.02862664,-0.30078410000000133,1.5798406166117331,1.8519717182254674,57.61430131014605
2020-02-12,80.37,81.81,80.37,81.8,79.58,113730400,81.75919163,1.7305649900000049,1.6358413673849697,1.8087456480573678,63.013499647952614
2020-02-13,81.05,81.56,80.84,81.22,79.01,94747600,81.29916233,-0.4600293000000022,1.614806726339694,1.7699578637138331,60.480784058659786
2020-02-14,81.18,81.5,80.71,81.24,79.03,80113600,81.32745452,0.028292190000001938,1.581519680206327,1.732270227012332,60.5396819965438
2020-02-18,78.84,79.94,78.65,79.75,77.58,152531200,79.81550722,-1.5119473000000028,1.4185566704983472,1.6695275157095353,54.073908483030834
2020-02-19,80.0,81.14,80.0,80.9,78.71,93984000,80.91897222,1.103465,1.366451102544815,1.6089122330765915,57.818453895688364
2020-02-20,80.66,81.16,79.55,80.07,77.9,100566000,80.13419836,-0.7847738600000014,1.2438447333214384,1.535898733125561,54.37269109101133
2020-02-21,79.65,80.11,77.62,78.26,76.14,129554000,78.35482764,-1.7793707200000028,0.9892232789917728,1.4265636422988035,47.69701480011576
2020-02-24,74.32,76.04,72.31,74.54,72.52,222195200,74.56528901,-3.7895386299999956,0.48170819905836026,1.2375925536507149,37.50513630455519
2020-02-25,75.24,75.63,71.53,72.02,70.06,230673600,72.1765676,-2.3887214100000023,-0.12243276896991517,0.9655874891265889,32.447107375583656
